,id,labelSite,dept_code
0,PASSON,AUBAGNE LES PASSONS,13
1,GAPJAURES,GAP JEAN JAURES,05
2,CARPENTRAS,CARPENTRAS ,84
3,OHP,Obs Haute-Provence,04
4,SALON,SALON,13
5,MAGNAN,PROMENADE DES ANGLAI,06
6,ARSON,NICE ARSON,06
7,MALET,ALPHA,13
8,CHEIRON,Massif du Cheiron,06
9,ESTEREL,FREJUS/SAINT RAPHAEL,83
10,NCA,NCA_Port_QuaiCommerc,06
11,TOUCLA,TOULON CLARET,83
12,MARIGNANE,Marignane,13
13,GARDANNE,Météo Gardanne,13
14,MOBILE_02,MOBILE02_QAPAatelier,13
15,MOBILE_03,MOBILE03_Toulon_TCA,83
16,MOBILE_04,MOBILE04_Malet,13
17,MOBILE_06,MOBILE06_Euromed,13
18,MOBILE_07,MOBILE07_Avignon_CDG,84
19,MOBILE_08,MOBILE08_SERAMM,13
20,MOBILE_10,MOBILE10_LFG_SOUSQUI,13
21,MOBILE_12,MOBILE12_Mars_L2_Kad,13
22,MOULIN_TIMONE,Marseille_Jean Mouli,13
23,LOCAL_01,LOCAL01_Mars_Musée,13
24,AVIGNONDEGAULLE,Avignon De Gaulle,84
25,MOBILE_13,MOBILE13_Briançon,05
26,MOBILE_14,MOBILE14_MarsStMenet,13
27,MOBILE_15,MOBILE15_Fauvettes,13
28,TOULON_TCA,Toulon_TCA,83
29,AEROPO,AEROPORT NICE,06
30,AIXART,AIX CENTRE ECOLE ART,13
31,AIXCEN,AIX ROY RENE,13
32,AIXPLA,AIX PLATANES,13
33,APT,APT,84
34,ARLS,Arles,13
35,AUPS,PLAN AUPS/STE  BAUME,83
36,AVICEN,AVIGNON   MAIRIE,84
37,AVIMAR,Avignon Semard,84
38,BETG,Berre l'Etang,13
39,BOTANI,NICE OUEST BOTANIQUE,06
40,BRIGNO,BRIGNOLES,83
41,CANNES,CANNES BROUSSAILLES,06
42,CIANS,CIANS,06
43,CINQAV,MARSEILLE 5  AVENUES,13
44,CONTE2,CONTES 2,06
45,FSCB,Fos Les Carabins    ,13
46,FSMR,Fos sur Mer         ,13
47,GAPCOM,GAP COMMANDERIE,05
48,GARDAN,GARDANNE            ,13
49,GENOUD,La Seyne sur mer 2,83
50,HYERES,HYERES,83
51,ISTR,Istres              ,13
52,MANOSQ,MANOSQUE,04
53,MEDE,Chateauneuf La Mede,13
54,MGTS,Martigues La Gatasse,13
55,MLVR,Martigues Lavera,13
56,MNDM,Martigues Notre Dame,13
57,MOULIN,ANTIBES JEAN MOULIN,06
58,MPNT,Martigues Laurons,13
59,PDBE,Port de Bouc Milan,13
60,PDBL,Port de Bouc Leque  ,13
61,PEILLO,PEILLON,06
62,PENHUV,La Pennesurhuveaune,13
63,PONTET,LE PONTET,84
64,PSTL,Port Saint Louis    ,13
65,RABATA,MARSEILLE RABATAU,13
66,RBRT,Rognac Barjaquets ,13
67,SSLP,Sausset les Pins    ,13
68,STLOUI,MARSEILLE ST LOUIS,13
69,TOUFOC,TOULON FOCH,83
70,TOULONLAVALETTE,TOULON LA VALETTE,83
