date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-13,microg/m3,02,NO,PASSON,NOPASSO,0.49130434782608684,1.0,1.5
2024-06-14,microg/m3,02,NO,PASSON,NOPASSO,0.7124999999999999,1.0,4.0
2024-06-15,microg/m3,02,NO,PASSON,NOPASSO,0.375,1.0,1.3
2024-06-16,microg/m3,02,NO,PASSON,NOPASSO,0.6416666666666666,1.0,2.7
2024-06-17,microg/m3,02,NO,PASSON,NOPASSO,1.3208333333333335,1.0,8.8
2024-06-18,microg/m3,02,NO,PASSON,NOPASSO,,0.4166666666666667,
2024-06-13,microg/m3,03,NO2,PASSON,N2PASSO,5.917391304347827,1.0,15.2
2024-06-14,microg/m3,03,NO2,PASSON,N2PASSO,5.941666666666666,1.0,13.0
2024-06-15,microg/m3,03,NO2,PASSON,N2PASSO,4.591666666666667,1.0,17.3
2024-06-16,microg/m3,03,NO2,PASSON,N2PASSO,7.570833333333333,1.0,15.6
2024-06-17,microg/m3,03,NO2,PASSON,N2PASSO,9.191666666666666,1.0,25.8
2024-06-18,microg/m3,03,NO2,PASSON,N2PASSO,,0.4166666666666667,
2024-06-13,microg/m3,12,NOX,PASSON,NXPASSO,6.656521739130436,1.0,15.5
2024-06-14,microg/m3,12,NOX,PASSON,NXPASSO,7.016666666666667,1.0,14.3
2024-06-15,microg/m3,12,NOX,PASSON,NXPASSO,5.179166666666666,1.0,17.6
2024-06-16,microg/m3,12,NOX,PASSON,NXPASSO,8.549999999999999,1.0,15.9
2024-06-17,microg/m3,12,NOX,PASSON,NXPASSO,11.220833333333331,1.0,37.6
2024-06-18,microg/m3,12,NOX,PASSON,NXPASSO,,0.4166666666666667,
2024-06-13,microg/m3,08,O3,PASSON,O3PASSO,83.37826086956522,1.0,99.7
2024-06-14,microg/m3,08,O3,PASSON,O3PASSO,65.73333333333333,1.0,79.5
2024-06-15,microg/m3,08,O3,PASSON,O3PASSO,76.7375,1.0,88.3
2024-06-16,microg/m3,08,O3,PASSON,O3PASSO,67.54583333333333,1.0,94.5
2024-06-17,microg/m3,08,O3,PASSON,O3PASSO,63.42500000000001,1.0,88.2
2024-06-18,microg/m3,08,O3,PASSON,O3PASSO,,0.4166666666666667,
2024-06-13,degre,54,TC,PASSON,tsPASSO,22.247826086956525,1.0,22.9
2024-06-14,degre,54,TC,PASSON,tsPASSO,21.5,1.0,22.4
2024-06-15,degre,54,TC,PASSON,tsPASSO,21.370833333333334,1.0,22.3
2024-06-16,degre,54,TC,PASSON,tsPASSO,21.762500000000003,1.0,22.7
2024-06-17,degre,54,TC,PASSON,tsPASSO,21.770833333333332,1.0,22.8
2024-06-18,degre,54,TC,PASSON,tsPASSO,,0.4166666666666667,
2024-06-13,microg/m3,V4,C6H6,PENHUV,BZPENH,2.8739130434782605,1.0,10.26
2024-06-14,microg/m3,V4,C6H6,PENHUV,BZPENH,0.2195238095238095,0.875,0.76
2024-06-15,microg/m3,V4,C6H6,PENHUV,BZPENH,1.4658333333333333,1.0,10.08
2024-06-16,microg/m3,V4,C6H6,PENHUV,BZPENH,3.31,1.0,31.09
2024-06-17,microg/m3,V4,C6H6,PENHUV,BZPENH,0.2979166666666666,1.0,0.84
2024-06-18,microg/m3,V4,C6H6,PENHUV,BZPENH,,0.4166666666666667,
2024-06-13,microg/m3,VV,C8H10_ox,PENHUV,OXPENH,1.7491304347826089,1.0,7.67
2024-06-14,microg/m3,VV,C8H10_ox,PENHUV,OXPENH,0.14904761904761896,0.875,0.59
2024-06-15,microg/m3,VV,C8H10_ox,PENHUV,OXPENH,0.7487500000000001,1.0,5.2
2024-06-16,microg/m3,VV,C8H10_ox,PENHUV,OXPENH,1.8162500000000001,1.0,4.37
2024-06-17,microg/m3,VV,C8H10_ox,PENHUV,OXPENH,0.3758333333333334,1.0,1.65
2024-06-18,microg/m3,VV,C8H10_ox,PENHUV,OXPENH,,0.4166666666666667,
2024-06-13,microg/m3,VQ,C7H8,PENHUV,TLPENH,1.666086956521739,1.0,15.9
2024-06-14,microg/m3,VQ,C7H8,PENHUV,TLPENH,1.1309523809523812,0.875,5.33
2024-06-15,microg/m3,VQ,C7H8,PENHUV,TLPENH,0.6079166666666667,1.0,2.71
2024-06-16,microg/m3,VQ,C7H8,PENHUV,TLPENH,0.9320833333333334,1.0,4.11
2024-06-17,microg/m3,VQ,C7H8,PENHUV,TLPENH,1.8541666666666663,1.0,4.92
2024-06-18,microg/m3,VQ,C7H8,PENHUV,TLPENH,,0.4166666666666667,
2024-06-13,microg/m3,VU,C8H10_mp,PENHUV,MPPENH,5.159565217391305,1.0,20.59
2024-06-14,microg/m3,VU,C8H10_mp,PENHUV,MPPENH,0.5519047619047617,0.875,1.93
2024-06-15,microg/m3,VU,C8H10_mp,PENHUV,MPPENH,2.047083333333333,1.0,12.71
2024-06-16,microg/m3,VU,C8H10_mp,PENHUV,MPPENH,5.721666666666668,1.0,12.54
2024-06-17,microg/m3,VU,C8H10_mp,PENHUV,MPPENH,1.3525,1.0,5.33
2024-06-18,microg/m3,VU,C8H10_mp,PENHUV,MPPENH,,0.4166666666666667,
2024-06-13,degre,54,TC,TOUFOC,TsTOUF,24.004347826086963,1.0,24.5
2024-06-14,degre,54,TC,TOUFOC,TsTOUF,24.05,1.0,24.6
2024-06-15,degre,54,TC,TOUFOC,TsTOUF,24.220833333333335,1.0,24.7
2024-06-16,degre,54,TC,TOUFOC,TsTOUF,24.129166666666663,1.0,24.7
2024-06-17,degre,54,TC,TOUFOC,TsTOUF,24.216666666666665,1.0,24.8
2024-06-18,degre,54,TC,TOUFOC,TsTOUF,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,TOUFOC,BDTOUFOC,29.48695652173914,1.0,71.4
2024-06-14,microg/m3,24,PM10,TOUFOC,BDTOUFOC,24.30416666666667,1.0,55.8
2024-06-15,microg/m3,24,PM10,TOUFOC,BDTOUFOC,18.562499999999996,1.0,28.2
2024-06-16,microg/m3,24,PM10,TOUFOC,BDTOUFOC,18.195833333333333,1.0,30.5
2024-06-17,microg/m3,24,PM10,TOUFOC,BDTOUFOC,26.1375,1.0,58.0
2024-06-18,microg/m3,24,PM10,TOUFOC,BDTOUFOC,,0.375,
2024-06-13,microg/m3,16,HCM,CINQAV,CH4CINQ,,0.4782608695652174,
2024-06-14,microg/m3,16,HCM,CINQAV,CH4CINQ,,0.5,
2024-06-15,microg/m3,16,HCM,CINQAV,CH4CINQ,,0.5,
2024-06-16,microg/m3,16,HCM,CINQAV,CH4CINQ,,0.5,
2024-06-17,microg/m3,16,HCM,CINQAV,CH4CINQ,,0.5,
2024-06-18,microg/m3,16,HCM,CINQAV,CH4CINQ,,0.20833333333333334,
2024-06-13,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,1.395217391304348,1.0,11.44
2024-06-14,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,0.41285714285714287,0.875,2.03
2024-06-15,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,0.7004166666666666,1.0,3.05
2024-06-16,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,1.1537500000000003,1.0,2.86
2024-06-17,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,0.8095833333333333,1.0,2.61
2024-06-18,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,,0.4166666666666667,
2024-06-13,microg/m3,G6,eBC880,CINQAV,G6CINQ,0.48086956521739127,1.0,0.89
2024-06-14,microg/m3,G6,eBC880,CINQAV,G6CINQ,0.37291666666666673,1.0,0.87
2024-06-15,microg/m3,G6,eBC880,CINQAV,G6CINQ,0.4362500000000001,1.0,1.04
2024-06-16,microg/m3,G6,eBC880,CINQAV,G6CINQ,0.4775000000000001,1.0,1.49
2024-06-17,microg/m3,G6,eBC880,CINQAV,G6CINQ,0.44208333333333333,1.0,0.93
2024-06-18,microg/m3,G6,eBC880,CINQAV,G6CINQ,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,RABATA,BDRABA,18.595652173913045,1.0,32.5
2024-06-14,microg/m3,24,PM10,RABATA,BDRABA,27.55833333333334,1.0,58.8
2024-06-15,microg/m3,24,PM10,RABATA,BDRABA,18.391666666666662,1.0,26.1
2024-06-16,microg/m3,24,PM10,RABATA,BDRABA,15.174999999999997,1.0,23.1
2024-06-17,microg/m3,24,PM10,RABATA,BDRABA,28.029166666666658,1.0,75.0
2024-06-18,microg/m3,24,PM10,RABATA,BDRABA,,0.375,
2024-06-13,microg/m3,39,PM2.5,RABATA,B2RABA,4.091304347826088,1.0,7.3
2024-06-14,microg/m3,39,PM2.5,RABATA,B2RABA,6.204166666666667,1.0,11.9
2024-06-15,microg/m3,39,PM2.5,RABATA,B2RABA,7.000000000000001,1.0,10.8
2024-06-16,microg/m3,39,PM2.5,RABATA,B2RABA,5.095833333333334,1.0,10.0
2024-06-17,microg/m3,39,PM2.5,RABATA,B2RABA,6.287499999999999,1.0,14.6
2024-06-18,microg/m3,39,PM2.5,RABATA,B2RABA,,0.375,
2024-06-13,ppmv,17,CO2,CINQAV,CO2CINQ,424.1486363636364,0.9565217391304348,434.45
2024-06-14,ppmv,17,CO2,CINQAV,CO2CINQ,427.04583333333335,1.0,436.14
2024-06-15,ppmv,17,CO2,CINQAV,CO2CINQ,424.69875,1.0,431.05
2024-06-16,ppmv,17,CO2,CINQAV,CO2CINQ,428.9583333333333,1.0,442.98
