,id,id_site,phy_name,id_phy,unit
0,NOPASSO,PASSON,NO,02,microg/m3
1,N2PASSO,PASSON,NO2,03,microg/m3
2,NXPASSO,PASSON,NOX,12,microg/m3
3,O3PASSO,PASSON,O3,08,microg/m3
4,tsPASSO,PASSON,TC,54,degre
5,BZPENH,PENHUV,C6H6,V4,microg/m3
6,OXPENH,PENHUV,C8H10_ox,VV,microg/m3
7,TLPENH,PENHUV,C7H8,VQ,microg/m3
8,MPPENH,PENHUV,C8H10_mp,VU,microg/m3
9,TsTOUF,TOUFOC,TC,54,degre
10,BDTOUFOC,TOUFOC,PM10,24,microg/m3
11,CoupeC4_PENH,PENHUV,MT,MT,microg/m3
12,G6CINQ,CINQAV,eBC880,G6,microg/m3
13,BDRABA,RABATA,PM10,24,microg/m3
14,B2RABA,RABATA,PM2.5,39,microg/m3
15,CO2CINQ,CINQAV,CO2,17,ppmv
16,CH4CINQ,CINQAV,HCM,16,microg/m3
17,H2OCINQ,CINQAV,HR,58,%
18,NOTOUCLA,TOUCLA,NO,02,microg/m3
19,N2TOUCLA,TOUCLA,NO2,03,microg/m3
20,NXTOUCLA,TOUCLA,NOX,12,microg/m3
21,BDTOUCLA,TOUCLA,PM10,24,microg/m3
22,B2TOUCLA,TOUCLA,PM2.5,39,microg/m3
23,O3TOUCLA,TOUCLA,O3,08,microg/m3
24,PCTOUCLA,TOUCLA,PM10,24,microg/m3
25,tsTOUCLA,TOUCLA,TC,54,degreC
26,HRCINQAV,CINQAV,HR,58,%
27,DVCINQAV,CINQAV,DV,52,degre
28,TCCINQAV,CINQAV,TC,54,degreC
29,VVCINQAV,CINQAV,VV,51,m/s
30,ORGCINQAV,CINQAV,Org,I1,microg/m3
31,SO4CINQAV,CINQAV,SO4,I2,microg/m3
32,NO3CINQAV,CINQAV,NO3,I3,microg/m3
33,NH4CINQAV,CINQAV,NH4,I4,microg/m3
34,ChlCINQAV,CINQAV,Chl,I5,microg/m3
35,ETPENH,PENHUV,C8H10,VA,microg/m3
36,TsMOBILE_06,MOBILE_06,TC,54,degreC
37,N2MOBILE_06,MOBILE_06,NO2,03,microg/m3
38,NOMOBILE_06,MOBILE_06,NO,02,microg/m3
39,NXMOBILE_06,MOBILE_06,NOX,12,microg/m3
40,PM1_5AV,CINQAV,PM1,68,microg/m3
41,PM10_5AV,CINQAV,PM10,24,microg/m3
42,PM25_5AV,CINQAV,PM2.5,39,microg/m3
43,PMtotal_5AV,CINQAV,PS,22,microg/m3
44,PM1CINQAV,CINQAV,PM1,68,microg/m3
45,C6H12_PENH,PENHUV,C6H12_ch,OA,microg/m3
46,S2MOBILE_06,MOBILE_06,SO2,01,microg/m3
47,NBR01_0_TO_5,CINQAV,NBR_CPC,T1,NbP/cm3
48,NBR02_5_TO_10,CINQAV,NBR_CPC,T1,NbP/cm3
49,B2MOBILE_06,MOBILE_06,PM2.5,39,microg/m3
50,P2MOBILE06,MOBILE_06,PM2.5,39,microg/m3
51,PM1STLOUIS,STLOUI,PM1,68,microg/m3
52,PM25STLOUIS,STLOUI,PM2.5,39,microg/m3
53,PM10STLOUIS,STLOUI,PM10,24,microg/m3
54,PMtotSTLOUIS,STLOUI,PS,22,microg/m3
55,P2STLO,STLOUI,PM2.5,39,microg/m3
56,NBR03_10_TO_15,CINQAV,NBR_CPC,T1,NbP/cm3
57,NBR04_15_TO_20,CINQAV,NBR_CPC,T1,NbP/cm3
58,NBR05_20_TO_30,CINQAV,NBR_CPC,T1,NbP/cm3
59,NBR06_30_TO_40,CINQAV,NBR_CPC,T1,NbP/cm3
60,NBR07_40_TO_50,CINQAV,NBR_CPC,T1,NbP/cm3
61,NBR08_50_TO_60,CINQAV,NBR_CPC,T1,NbP/cm3
62,NBR09_60_TO_70,CINQAV,NBR_CPC,T1,NbP/cm3
63,NBR10_70_TO_80,CINQAV,NBR_CPC,T1,NbP/cm3
64,NBR11_80_TO_90,CINQAV,NBR_CPC,T1,NbP/cm3
65,NBR12_90_TO_100,CINQAV,NBR_CPC,T1,NbP/cm3
66,NBR13_100_TO150,CINQAV,NBR_CPC,T1,NbP/cm3
67,NBR14_150_TO200,CINQAV,NBR_CPC,T1,NbP/cm3
68,NBR15_200_TO300,CINQAV,NBR_CPC,T1,NbP/cm3
69,NBR16_300_TO400,CINQAV,NBR_CPC,T1,NbP/cm3
70,NBR17_400_TO500,CINQAV,NBR_CPC,T1,NbP/cm3
71,NBR18_500TO1000,CINQAV,NBR_CPC,T1,NbP/cm3
72,Nb0_100nm 5Av,CINQAV,NBR,9H,NbP/cm3
73,Nb100_1000nm5Av,CINQAV,NBR,9H,NbP/cm3
74,NbTotalSMPS5Av,CINQAV,NBR,9H,NbP/cm3
75,Al_Longchamp,CINQAV,Al in PM1,9G,ng/m3
76,Si_Longchamp,CINQAV,Si in PM1,9q,ng/m3
77,S_Longchamp,CINQAV,S in PM1,9h,ng/m3
78,Cl_Longchamp,CINQAV,Cl in PM1,9U,ng/m3
79,K_Longchamp,CINQAV,K in PM1,9c,ng/m3
80,Ca_Longchamp,CINQAV,Ca in PM1,9S,ng/m3
81,Ti_Longchamp,CINQAV,Ti in PM1,9s,ng/m3
82,V_Longchamp,CINQAV,V in PM1,9u,ng/m3
83,Cr_Longchamp,CINQAV,Cr in PM1,9W,ng/m3
84,Mn_Longchamp,CINQAV,Mn in PM1,9d,ng/m3
85,Fe_Longchamp,CINQAV,Fe in PM1,9Y,ng/m3
86,Co_Longchamp,CINQAV,Co in PM1,9V,ng/m3
87,Ni_Longchamp,CINQAV,Ni in PM1,9e,ng/m3
88,Cu_Longchamp,CINQAV,Cu in PM1,9X,ng/m3
89,Zn_Longchamp,CINQAV,Zn in PM1,9v,ng/m3
90,Ga_Longchamp,CINQAV,Ga in PM1,9w,ng/m3
91,Ge_Longchamp,CINQAV,Ge in PM1,9x,ng/m3
92,As_Longchamp,CINQAV,As in PM1,9I,ng/m3
93,Se_Longchamp,CINQAV,Se in PM1,9p,ng/m3
94,Br_Longchamp,CINQAV,Br in PM1,9R,ng/m3
95,Y_Longchamp,CINQAV,Y in PM1,9y,ng/m3
96,Zr_Longchamp,CINQAV,Zr in PM1,A0,ng/m3
97,Nb_Longchamp,CINQAV,Nb in PM1,A8,ng/m3
98,Mo_Longchamp,CINQAV,Mo in PM1,A9,ng/m3
99,Pd_Longchamp,CINQAV,Pd in PM1,AP,ng/m3
100,Cd_Longchamp,CINQAV,Cd in PM1,9T,ng/m3
101,Sn_Longchamp,CINQAV,Sn in PM1,9r,ng/m3
102,Sb_Longchamp,CINQAV,Sb in PM1,9i,ng/m3
103,Pt_Longchamp,CINQAV,Pt in PM1,AQ,ng/m3
104,Au_Longchamp,CINQAV,Au in PM1,AR,ng/m3
105,Hg_Longchamp,CINQAV,Hg in PM1,9a,ng/m3
106,Tl_Longchamp,CINQAV,Tl in PM1,9t,ng/m3
107,Pb_Longchamp,CINQAV,Pb in PM1,9g,ng/m3
108,Bi_Longchamp,CINQAV,Bi in PM1,9Q,ng/m3
109,tsACSM,CINQAV,TC,54,degreC
110,G6RABA,RABATA,eBC880,G6,microg/m3
111,NH3CINQAV,CINQAV,NH3,21,microg/m3
112,PACINQAV,CINQAV,PA,53,Pa
113,PluieCINQAV,CINQAV,Precipita,60,mm
114,N2MOBILE_12,MOBILE_12,NO2,03,microg/m3
115,NXMOBILE_12,MOBILE_12,NOX,12,microg/m3
116,NOMOBILE_12,MOBILE_12,NO,02,microg/m3
117,G6MOB12,MOBILE_12,eBC880,G6,microg/m3
118,TsMOBILE_12,MOBILE_12,TC,54,degreC
119,PCMOBILE_12,MOBILE_12,PM10,24,ug/m3
120,BD_MOBILE_12,MOBILE_12,PM10,24,microg/m3
121,N2MOULIN_TIMONE,MOULIN_TIMONE,NO2,03,microg/m3
122,NOMOULIN_TIMONE,MOULIN_TIMONE,NO,02,microg/m3
123,NXMOULIN_TIMONE,MOULIN_TIMONE,NOX,12,microg/m3
124,BDMOULIN_TIMONE,MOULIN_TIMONE,PM10,24,microg/m3
125,TsMOULIN_TIMONE,MOULIN_TIMONE,TC,54,degreC
126,PCMOULIN_TIMONE,MOULIN_TIMONE,PM10,24,microg/m3
127,COLONGCHAMP,CINQAV,CO,04,mg/m3
128,HRCPC_CINQAV,CINQAV,MT,MT,%
129,B2TOULONVALETTE,TOULONLAVALETTE,PM2.5,39,microg/m3
130,P2TOULONVALETTE,TOULONLAVALETTE,PM2.5,39,microg/m3
131,PM10AUPS,AUPS,PM10,24,microg/m3
132,PM25AUPS,AUPS,PM2.5,39,microg/m3
133,PM1AUPS,AUPS,PM1,68,microg/m3
134,PMtotAUPS,AUPS,PS,22,microg/m3
135,NbP_RABATAU,RABATA,Nb PM 10nm,T3,NbP/cm3
136,HRCPC_RABATAU,RABATA,MT,MT,%
137,DVMOBILE_14,MOBILE_14,DV,52,degre
138,HRMOBILE_14,MOBILE_14,HR,58,%
139,PAMOBILE_14,MOBILE_14,PA,53,Pa
140,PluieMOBILE_14,MOBILE_14,Precipita,60,mm
141,TCMOBILE_14,MOBILE_14,TC,54,degreC
142,VVMOBILE_14,MOBILE_14,VV,51,m/s
143,BZMOBILE_14,MOBILE_14,C6H6,V4,microg/m3
144,C6H12_MOBILE14,MOBILE_14,C6H12_ch,OA,microg/m3
145,CoupeC4Mobile14,MOBILE_14,MT,MT,microg/m3
146,ETMOBILE_14,MOBILE_14,C8H10,VA,microg/m3
147,MPMOBILE_14,MOBILE_14,C8H10_mp,VU,microg/m3
148,OXMOBILE_14,MOBILE_14,C8H10_ox,VV,microg/m3
149,TLMOBILE_14,MOBILE_14,C7H8,VQ,microg/m3
150,tsMOBILE_14,MOBILE_14,TC,54,degreC
151,PM4_5AV,CINQAV,PM4,9E,microg/m3
152,PM4_AUPS,AUPS,PM4,9E,microg/m3
153,PM4_STLOUIS,STLOUI,PM4,9E,microg/m3
154,NbP_CINQAV,CINQAV,Nb PM 10nm,T3,NbP/cm3
155,H20_NH3_5AV,CINQAV,HR,58,%
156,NH3_DRY_5AV,CINQAV,NH3,21,microg/m3
157,N2TOUTCA,TOULON_TCA,NO2,03,microg/m3
158,NOTOUTCA,TOULON_TCA,NO,02,microg/m3
159,NXTOUTCA,TOULON_TCA,NOX,12,microg/m3
160,tsTOULONTCA,TOULON_TCA,TC,54,degreC
161,G6TOULONTCA,TOULON_TCA,eBC880,G6,microg/m3
162,DVTOULONTCA,TOULON_TCA,DV,52,degre
163,HRTOULONTCA,TOULON_TCA,HR,58,%
164,PATOULONTCA,TOULON_TCA,PA,53,Pa
165,PluieTOULONTCA,TOULON_TCA,Precipita,60,mm
166,TCTOULONTCA,TOULON_TCA,TC,54,degreC
167,VVTOULONTCA,TOULON_TCA,VV,51,m/s
168,HRCPCTOULONTCA,TOULON_TCA,MT,MT,%
169,NbPTOULONTCA,TOULON_TCA,Nb PM 10nm,T3,NbP/cm3
170,N2CINQ,CINQAV,NO2,03,microg/m3
171,N2GENO,GENOUD,NO2,03,microg/m3
172,N2RABA,RABATA,NO2,03,microg/m3
173,N2STLO,STLOUI,NO2,03,microg/m3
174,N2TOUF,TOUFOC,NO2,03,microg/m3
175,NOCINQ,CINQAV,NO,02,microg/m3
176,NOGENO,GENOUD,NO,02,microg/m3
177,NORABA,RABATA,NO,02,microg/m3
178,NOSTLO,STLOUI,NO,02,microg/m3
179,NOTOUF,TOUFOC,NO,02,microg/m3
180,NXCINQ,CINQAV,NOX,12,microg/m3
181,NXGENO,GENOUD,NOX,12,microg/m3
182,NXRABA,RABATA,NOX,12,microg/m3
183,NXSTLO,STLOUI,NOX,12,microg/m3
184,NXTOUF,TOUFOC,NOX,12,microg/m3
185,O3AUPS,AUPS,O3,08,microg/m3
186,O3CINQ,CINQAV,O3,08,microg/m3
187,O3PENH,PENHUV,O3,08,microg/m3
188,O3TOULONVALETTE,TOULONLAVALETTE,O3,08,microg/m3
189,P2CINQ,CINQAV,PM2.5,39,microg/m3
190,P2RABA,RABATA,PM2.5,39,microg/m3
191,PCCINQ,CINQAV,PM10,24,microg/m3
192,PCRABA,RABATA,PM10,24,microg/m3
193,PCSTLO,STLOUI,PM10,24,microg/m3
194,PCTOUF,TOUFOC,PM10,24,microg/m3
195,S2CINQ,CINQAV,SO2,01,microg/m3
196,tsAUPS,AUPS,TC,54,degre
197,tsCINQ,CINQAV,TC,54,degre
198,tsGENO,GENOUD,TC,54,degre
199,tsPENH,PENHUV,TC,54,degre
200,tsRABA,RABATA,TC,54,degre
201,tsSTLO,STLOUI,TC,54,degre
202,tsVALE,TOULONLAVALETTE,TC,54,degre
0,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
1,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
2,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
3,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
4,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
5,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
6,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
7,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
8,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
9,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
10,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
11,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
12,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
13,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
14,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
15,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
16,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
17,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
18,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
19,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
20,MLCINQAV,CINQAV,Métaux Lourds,ML,μg/m3
