date,phy_name,id,id_phy,id_site,unit,value,Aluminium in PM1,Silicium in PM1,Souffre in PM1,Chlore in PM1,Potassium in PM1,Calcium in PM1,Titane in PM1,Vanadium in PM1,Chrome in PM,Manganese in PM1,Fer in PM1,Cobalt in PM1,Nickel in PM1,Cuivre in PM1,Zinc in PM1,Arsenic in PM1,Selenium in PM1,Brome in PM1,Cadmium in PM1,Antimoine in PM1,Baryum in PM1,Plomb in PM1,Mercure in PM1,Bismuth in PM1
2024-06-13 01:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 02:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 03:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 04:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 05:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 06:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 07:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 08:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 09:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 10:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 11:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 12:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 13:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 14:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 15:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 16:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 17:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 18:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 19:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 20:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 21:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 22:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 23:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 00:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 01:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 02:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 03:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 04:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 05:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 06:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 07:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 08:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 09:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 10:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 11:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 12:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 13:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 14:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 15:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 16:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 17:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 18:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 19:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 20:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 21:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 22:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 23:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 00:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 01:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 02:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 03:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 04:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 05:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 06:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 07:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 08:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 09:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 10:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 11:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 12:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 13:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 14:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 15:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 16:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 17:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 18:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 19:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 20:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 21:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 22:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 23:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 00:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 01:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 02:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 03:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 04:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 05:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 06:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 07:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 08:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 09:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
