date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-13,degreC,54,TC,ISTR,tsISTR,20.234782608695657,1.0,21.1
2024-06-14,degreC,54,TC,ISTR,tsISTR,19.63333333333334,1.0,20.4
2024-06-15,degreC,54,TC,ISTR,tsISTR,19.562500000000004,1.0,20.2
2024-06-16,degreC,54,TC,ISTR,tsISTR,19.875000000000004,1.0,20.7
2024-06-17,degreC,54,TC,ISTR,tsISTR,19.695833333333336,1.0,20.6
2024-06-18,degreC,54,TC,ISTR,tsISTR,,0.4166666666666667,
2024-06-13,microg/m3,39,PM2.5,GAPCOM,P2GAPC,7.856521739130436,1.0,14.5
2024-06-14,microg/m3,39,PM2.5,GAPCOM,P2GAPC,8.575000000000001,1.0,12.4
2024-06-15,microg/m3,39,PM2.5,GAPCOM,P2GAPC,8.625,1.0,13.6
2024-06-16,microg/m3,39,PM2.5,GAPCOM,P2GAPC,6.079166666666665,1.0,12.5
2024-06-17,microg/m3,39,PM2.5,GAPCOM,P2GAPC,8.825,1.0,15.1
2024-06-18,microg/m3,39,PM2.5,GAPCOM,P2GAPC,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,GAPCOM,PCGAPC,10.904347826086953,1.0,15.6
2024-06-14,microg/m3,24,PM10,GAPCOM,PCGAPC,11.333333333333334,1.0,18.1
2024-06-15,microg/m3,24,PM10,GAPCOM,PCGAPC,11.100000000000001,1.0,18.3
2024-06-16,microg/m3,24,PM10,GAPCOM,PCGAPC,8.520833333333336,1.0,17.4
2024-06-17,microg/m3,24,PM10,GAPCOM,PCGAPC,13.258333333333333,1.0,20.8
2024-06-18,microg/m3,24,PM10,GAPCOM,PCGAPC,,0.4166666666666667,
2024-06-13,microg/m3,39,PM2.5,PSTL,P2PSTL,3.3999999999999995,1.0,8.8
2024-06-14,microg/m3,39,PM2.5,PSTL,P2PSTL,4.354166666666667,1.0,9.5
2024-06-15,microg/m3,39,PM2.5,PSTL,P2PSTL,3.529166666666667,1.0,11.1
2024-06-16,microg/m3,39,PM2.5,PSTL,P2PSTL,3.2375000000000003,1.0,9.4
2024-06-17,microg/m3,39,PM2.5,PSTL,P2PSTL,4.1000000000000005,1.0,8.2
2024-06-18,microg/m3,39,PM2.5,PSTL,P2PSTL,,0.4166666666666667,
2024-06-13,microg/m3,08,O3,CARPENTRAS,O3CARPENTRAS,89.75217391304346,1.0,109.9
2024-06-14,microg/m3,08,O3,CARPENTRAS,O3CARPENTRAS,81.56249999999999,1.0,97.0
2024-06-15,microg/m3,08,O3,CARPENTRAS,O3CARPENTRAS,69.33333333333336,1.0,95.0
2024-06-16,microg/m3,08,O3,CARPENTRAS,O3CARPENTRAS,60.59583333333334,1.0,92.1
2024-06-17,microg/m3,08,O3,CARPENTRAS,O3CARPENTRAS,72.175,1.0,112.9
2024-06-18,microg/m3,08,O3,CARPENTRAS,O3CARPENTRAS,,0.4166666666666667,
2024-06-13,degre,54,TC,CARPENTRAS,tsCARPENTRAS,21.678260869565214,1.0,22.8
