,id,id_site,phy_name,id_phy,unit
0,tsISTR,ISTR,TC,54,degreC
1,P2GAPC,GAPCOM,PM2.5,39,microg/m3
2,PCGAPC,GAPCOM,PM10,24,microg/m3
3,P2PSTL,PSTL,PM2.5,39,microg/m3
4,O3CARPENTRAS,CARPENTRAS,O3,08,microg/m3
5,tsCARPENTRAS,CARPENTRAS,TC,54,degre
6,TsGAPJAURES,GAPJAURES,TC,54,degre
7,N2GAPJAURES,GAPJAURES,NO2,03,microg/m3
8,NOGAPJAURES,GAPJAURES,NO,02,microg/m3
9,NXGAPJAURES,GAPJAURES,NOX,12,microg/m3
10,PCGAPJAURES,GAPJAURES,PM10,24,microg/m3
11,O3OHP,OHP,O3,08,microg/m3
12,BDGAPJAURES,GAPJAURES,PM10,24,microg/m3
13,B2GAPJAURES,GAPJAURES,PM2.5,39,microg/m3
14,P2GAPJAURES,GAPJAURES,PM2.5,39,microg/m3
15,TsAIXC,AIXCEN,TC,54,degre
16,N2SALON,SALON,NO2,03,microg/m3
17,NOSALON,SALON,NO,02,microg/m3
18,NXSALON,SALON,NOX,12,microg/m3
19,O3SALON,SALON,O3,08,microg/m3
20,PCSALON,SALON,PM10,24,microg/m3
21,tsSALON,SALON,TC,54,degreC
22,BDGAPCOM,GAPCOM,PM10,24,microg/m3
23,B2GAPCOM,GAPCOM,PM2.5,39,microg/m3
24,P2OHP,OHP,PM2.5,39,microg/m3
25,PCOHP,OHP,PM10,24,microg/m3
26,P2MANOSQ,MANOSQ,PM2.5,39,microg/m3
27,PCMANOSQ,MANOSQ,PM10,24,microg/m3
28,BDAIXCEN,AIXCEN,PM10,24,microg/m3
29,tcMGTS,MGTS,TC,54,degreC
30,VVMGTS,MGTS,VV,51,m/s
31,HgMLVR,MLVR,Hg_gaz,97,ng/m3
32,vvMNDM,MNDM,VV,51,m/s
33,tcMNDM,MNDM,TC,54,degreC
34,BDMEDE,MEDE,PM10,24,microg/m3
35,tsOHP,OHP,TC,54,degre
36,BDPDBL,PDBL,PM10,24,microg/m3
37,B2PDBL,PDBL,PM2.5,39,microg/m3
38,P2PDBL,PDBL,PM2.5,39,microg/m3
39,N2MARIGNANE,MARIGNANE,NO2,03,microg/m3
40,NOMARIGNANE,MARIGNANE,NO,02,microg/m3
41,NXMARIGNANE,MARIGNANE,NOX,12,microg/m3
42,PCMARIGNANE,MARIGNANE,PM10,24,microg/m3
43,tsMARIGNANE,MARIGNANE,TC,54,degreC
44,DVGARDANNE,GARDANNE,DV,52,degre
45,TCGARDANNE,GARDANNE,TC,54,degreC
46,VVGARDANNE,GARDANNE,VV,51,m/s
47,BDMOBILE_04,MOBILE_04,PM10,24,microg/m3
48,tsMOBILE_04,MOBILE_04,TC,54,degreC
49,B2GARDAN,GARDAN,PM2.5,39,microg/m3
50,BDGARDAN,GARDAN,PM10,24,microg/m3
51,PCMOBILE_04,MOBILE_04,PM10,24,microg/m3
52,Nb_FIDAS_MANOSQ,MANOSQ,NBR,9H,NbP/cm3
53,PM10MANOSQ,MANOSQ,PM10,24,microg/m3
54,PM1MANOSQ,MANOSQ,PM1,68,microg/m3
55,PM25MANOSQ,MANOSQ,PM2.5,39,microg/m3
56,PMtotMANOSQ,MANOSQ,PS,22,microg/m3
57,DVBETG,BETG,DV,52,degre
58,VVBETG,BETG,VV,51,m/s
59,TCBETG,BETG,TC,54,degreC
60,DVFSCB,FSCB,DV,52,degre
61,VVFSCB,FSCB,VV,51,mV
62,TCTRIDFSCB,FSCB,TC,54,degreC
63,CoupeC4_FSCB,FSCB,MT,MT,microg/m3
64,BZFSCB,FSCB,C6H6,V4,microg/m3
65,C6H12FSCB,FSCB,C6H12_ch,OA,microg/m3
66,ETFSCB,FSCB,C8H10,VA,microg/m3
67,MPFSCB,FSCB,C8H10_mp,VU,microg/m3
68,OXFSCB,FSCB,C8H10_ox,VV,microg/m3
69,TLFSCB,FSCB,C7H8,VQ,microg/m3
70,BDMOBILE_10,MOBILE_10,PM10,24,microg/m3
71,TsMOBILE_10,MOBILE_10,TC,54,degreC
72,N2MOBILE_10,MOBILE_10,NO2,03,microg/m3
73,NOMOBILE_10,MOBILE_10,NO,02,microg/m3
74,NXMOBILE_10,MOBILE_10,NOX,12,microg/m3
75,DVMOBILE_10,MOBILE_10,DV,52,degre
76,TCMOBILE_10,MOBILE_10,TC,54,degreC
77,VVMOBILE_10,MOBILE_10,VV,51,m/s
78,PCMOBILE_10,MOBILE_10,PM10,24,microg/m3
79,P2MARIGNANE,MARIGNANE,PM2.5,39,microg/m3
80,B2FSCB,FSCB,PM2.5,39,microg/m3
81,P2FSCB,FSCB,PM2.5,39,microg/m3
82,B2RBRT,RBRT,PM2.5,39,microg/m3
83,PM10SALON,SALON,PM10,24,microg/m3
84,PM25SALON,SALON,PM2.5,39,microg/m3
85,PMtotSALON,SALON,PS,22,microg/m3
86,PM1SALON,SALON,PM1,68,microg/m3
87,Nb_FIDAS_SALON,SALON,NBR,9H,NbP/cm3
88,P2SALON,SALON,PM2.5,39,microg/m3
89,PM10AVICENTRE,AVICEN,PM10,24,microg/m3
90,PM25AVICENTRE,AVICEN,PM2.5,39,microg/m3
91,PMtotAVICENTRE,AVICEN,PS,22,microg/m3
92,PM1AVICENTRE,AVICEN,PM1,68,microg/m3
93,Nb_FIDAS_AVICEN,AVICEN,NBR,9H,NbP/cm3
94,O3MARIGNANE,MARIGNANE,O3,08,microg/m3
95,B2MNDM,MNDM,PM2.5,39,microg/m3
96,P2MNDM,MNDM,PM2.5,39,microg/m3
97,Nb_FIDAS_MARIGN,MARIGNANE,NBR,9H,NbP/cm3
98,PM10MARIGNANE,MARIGNANE,PM10,24,microg/m3
99,PM1MARIGNANE,MARIGNANE,PM1,68,microg/m3
100,PM25MARIGNANE,MARIGNANE,PM2.5,39,microg/m3
101,PMtotMARIGNANE,MARIGNANE,PS,22,microg/m3
102,B2_MOBILE10,MOBILE_10,PM2.5,39,microg/m3
103,S2MOBILE10,MOBILE_10,SO2,01,microg/m3
104,CO2_PDBL,PDBL,CO2,17,ppmv
105,H2O_PDBL,PDBL,HR,58,%
106,CH4_PDBL,PDBL,HCM,16,microg/m3
107,CO_PDBL,PDBL,CO,04,mg/m3
108,H2SFSCB,FSCB,SH,05,microg/m3
109,G6GAPC,GAPCOM,eBC880,G6,microg/m3
110,PM10ARLES,ARLS,PM10,24,microg/m3
111,PM25ARLES,ARLS,PM2.5,39,microg/m3
112,PM1ARLES,ARLS,PM1,68,microg/m3
113,Nb_FIDAS_ARLES,ARLS,NBR,9H,NbP/cm3
114,PMtotARLES,ARLS,PS,22,microg/m3
115,PMtotAIXART,AIXART,PS,22,microg/m3
116,PM25AIXART,AIXART,PM2.5,39,microg/m3
117,PM10AIXART,AIXART,PM10,24,microg/m3
118,PM1AIXART,AIXART,PM1,68,microg/m3
119,Nb_FIDAS_AIXART,AIXART,NBR,9H,NbP/cm3
120,Nb_FIDAS_OHP,OHP,NBR,9H,NbP/cm3
121,PM10_OHP,OHP,PM10,24,microg/m3
122,PM25_OHP,OHP,PM2.5,39,microg/m3
123,PM1_OHP,OHP,PM1,68,microg/m3
124,PMtot_OHP,OHP,PS,22,microg/m3
125,Al_FSCB,FSCB,Al in PM1,9G,ng/m3
126,Si_FSCB,FSCB,Si in PM1,9q,ng/m3
127,S_FSCB,FSCB,S in PM1,9h,ng/m3
128,Cl_FSCB,FSCB,Cl in PM1,9U,ng/m3
129,K_FSCB,FSCB,K in PM1,9c,ng/m3
130,Ca_FSCB,FSCB,Ca in PM1,9S,ng/m3
131,Ti_FSCB,FSCB,Ti in PM1,9s,ng/m3
132,V_FSCB,FSCB,V in PM1,9u,ng/m3
133,Cr_FSBC,FSCB,Cr in PM1,9W,ng/m3
134,Mn_FSCB,FSCB,Mn in PM1,9d,ng/m3
135,Fe_FSCB,FSCB,Fe in PM1,9Y,ng/m3
136,Co_FSCB,FSCB,Co in PM1,9V,ng/m3
137,HRCPC_FSCB,FSCB,HR,58,%
138,HRCPC_PDBL,PDBL,MT,MT,%
139,HRCPC_RBRT,RBRT,MT,MT,%
140,Ni_FSCB,FSCB,Ni in PM1,9e,ng/m3
141,Cu_FSCB,FSCB,Cu in PM1,9X,ng/m3
142,Zn_FSCB,FSCB,Zn in PM1,9v,ng/m3
143,As_FSCB,FSCB,As in PM1,9I,ng/m3
144,Se_FSCB,FSCB,Se in PM1,9p,ng/m3
145,Br_FSCB,FSCB,Br in PM1,9R,ng/m3
146,Nb_FSCB,FSCB,Nb in PM1,A8,ng/m3
147,Cd_FSCB,FSCB,Cd in PM1,9T,ng/m3
148,Sb_FSCB,FSCB,Sb in PM1,9i,ng/m3
149,Ba_FSCB,FSCB,Ba in PM1,9P,ng/m3
150,Pb_FSCB,FSCB,Pb in PM1,9g,ng/m3
151,Hg_FSCB,FSCB,Hg in PM1,9a,ng/m3
152,Bi_FSCB,FSCB,Bi in PM1,9Q,ng/m3
153,NbP_FSCB,FSCB,Nb PM 10nm,T3,NbP/cm3
154,N2AVIGAULLE,AVIGNONDEGAULLE,NO2,03,microg/m3
155,NOAVIGAULLE,AVIGNONDEGAULLE,NO,02,microg/m3
156,NOXAVIGAULLE,AVIGNONDEGAULLE,NOX,12,microg/m3
157,BDAVIGAULLE,AVIGNONDEGAULLE,PM10,24,microg/m3
158,B2AVIGAULLE,AVIGNONDEGAULLE,PM2.5,39,microg/m3
159,TsAVIGAULLE,AVIGNONDEGAULLE,TC,54,degreC
160,PCAVIGAULLE,AVIGNONDEGAULLE,PM10,24,microg/m3
161,P2AVIGAULLE,AVIGNONDEGAULLE,PM2.5,39,microg/m3
162,NbP_RBRT,RBRT,Nb PM 10nm,T3,NbP/cm3
163,N2MOBILE_13,MOBILE_13,NO2,03,microg/m3
164,NOMOBILE_13,MOBILE_13,NO,02,microg/m3
165,NXMOBILE_13,MOBILE_13,NOX,12,microg/m3
166,O3MOBILE_13,MOBILE_13,O3,08,microg/m3
167,BDMOBILE_13,MOBILE_13,PM10,24,microg/m3
168,B2MOBILE_13,MOBILE_13,PM2.5,39,microg/m3
169,TCMOBILE_13,MOBILE_13,TC,54,degreC
170,HRMOBILE_13,MOBILE_13,HR,58,%
171,PAMOBILE_13,MOBILE_13,PA,53,Pa
172,PluieMOBILE_13,MOBILE_13,Precipita,60,mm
173,DVMOBILE_13,MOBILE_13,DV,52,degre
174,VVMOBILE_13,MOBILE_13,VV,51,m/s
175,PCMOBILE_13,MOBILE_13,PM10,24,microg/m3
176,P2MOBILE_13,MOBILE_13,PM2.5,39,microg/m3
177,TsMOBILE_13,MOBILE_13,TC,54,degreC
178,NbP_PDBL,PDBL,Nb PM 10nm,T3,NbP/cm3
179,B2MOBILE_04,MOBILE_04,PM2.5,39,microg/m3
180,P2MOBILE_04,MOBILE_04,PM2.5,39,microg/m3
181,BZRBRT,RBRT,C6H6,V4,microg/m3
182,C6H12RBRT,RBRT,C6H12_ch,OA,microg/m3
183,CoupeC4RBRT,RBRT,MT,MT,microg/m3
184,ETRBRT,RBRT,C8H10,VA,microg/m3
185,MPRBRT,RBRT,C8H10_mp,VU,microg/m3
186,OXRBRT,RBRT,C8H10_ox,VV,microg/m3
187,TLRBRT,RBRT,C7H8,VQ,microg/m3
188,PM4_AIXART,AIXART,PM4,9E,microg/m3
189,PM4_ARLES,ARLS,PM4,9E,microg/m3
190,PM4_AVICENTRE,AVICEN,PM4,9E,microg/m3
191,PM4_MANOSQ,MANOSQ,PM4,9E,microg/m3
192,PM4_MARIGNANE,MARIGNANE,PM4,9E,microg/m3
193,PM4_OHP,OHP,PM4,9E,microg/m3
194,PM4_SALON,SALON,PM4,9E,microg/m3
195,G6_MOBILE13,MOBILE_13,eBC880,G6,microg/m3
196,B2PSTL,PSTL,PM2.5,39,microg/m3
197,NOFAUVETTES,MOBILE_15,NO,02,microg/m3
198,N2FAUVETTES,MOBILE_15,NO2,03,microg/m3
199,NXFAUVETTES,MOBILE_15,NOX,12,microg/m3
200,BDFAUVETTES,MOBILE_15,PM10,24,microg/m3
201,B2FAUVETTES,MOBILE_15,PM2.5,39,microg/m3
202,G6MOBILE15,MOBILE_15,eBC880,G6,ng/m3
203,tsMOBILE15,MOBILE_15,TC,54,degreC
204,DVMOBILE15,MOBILE_15,DV,52,degre
205,TCMOBILE15,MOBILE_15,TC,54,degreC
206,VVMOBILE15,MOBILE_15,VV,51,m/s
207,PCMOBILE15,MOBILE_15,PM10,24,microg/m3
208,P2MOBILE15,MOBILE_15,PM2.5,39,microg/m3
209,S2MOBILE15,MOBILE_15,SO2,01,microg/m3
210,DVMGTS,MGTS,DV,52,degre
211,DVMNDM,MNDM,DV,52,degre
212,N2AIXA,AIXART,NO2,03,microg/m3
213,N2AIXC,AIXCEN,NO2,03,microg/m3
214,N2ARLS,ARLS,NO2,03,microg/m3
215,N2AVIC,AVICEN,NO2,03,microg/m3
216,N2GAPC,GAPCOM,NO2,03,microg/m3
217,N2MANO,MANOSQ,NO2,03,microg/m3
218,N2PONT,PONTET,NO2,03,microg/m3
219,NOAIXA,AIXART,NO,02,microg/m3
220,NOAIXC,AIXCEN,NO,02,microg/m3
221,NOARLS,ARLS,NO,02,microg/m3
222,NOAVIC,AVICEN,NO,02,microg/m3
223,NOGAPC,GAPCOM,NO,02,microg/m3
224,NOMANO,MANOSQ,NO,02,microg/m3
225,NOPONT,PONTET,NO,02,microg/m3
226,NXAIXA,AIXART,NOX,12,microg/m3
227,NXAIXC,AIXCEN,NOX,12,microg/m3
228,NXARLS,ARLS,NOX,12,microg/m3
229,NXAVIC,AVICEN,NOX,12,microg/m3
230,NXGAPC,GAPCOM,NOX,12,microg/m3
231,NXMANO,MANOSQ,NOX,12,microg/m3
232,NXPONT,PONTET,NOX,12,microg/m3
233,O3AIXP,AIXPLA,O3,08,microg/m3
234,O3APT,APT,O3,08,microg/m3
235,O3ARLS,ARLS,O3,08,microg/m3
236,O3AVIC,AVICEN,O3,08,microg/m3
237,O3BETG,BETG,O3,08,microg/m3
238,O3GAPC,GAPCOM,O3,08,microg/m3
239,O3ISTR,ISTR,O3,08,microg/m3
240,O3MANO,MANOSQ,O3,08,microg/m3
241,O3MNDM,MNDM,O3,08,microg/m3
242,O3RBRT,RBRT,O3,08,microg/m3
243,O3SSLP,SSLP,O3,08,microg/m3
244,P2AIXA,AIXART,PM2.5,39,microg/m3
245,P2AVIC,AVICEN,PM2.5,39,microg/m3
246,P2GARD,GARDAN,PM2.5,39,microg/m3
247,P2RBRT,RBRT,PM2.5,39,microg/m3
248,PCAIXA,AIXART,PM10,24,microg/m3
249,PCAIXC,AIXCEN,PM10,24,microg/m3
250,PCARLS,ARLS,PM10,24,microg/m3
251,PCAVIC,AVICEN,PM10,24,microg/m3
252,PCGARD,GARDAN,PM10,24,microg/m3
253,PCMEDE,MEDE,PM10,24,microg/m3
254,PCPDBL,PDBL,PM10,24,microg/m3
