,id,labelSite,dept_code
0,GAPJAURES,GAP JEAN JAURES,05
1,CARPENTRAS,CARPENTRAS ,84
2,OHP,Obs Haute-Provence,04
3,SALON,SALON,13
4,MARIGNANE,Marignane,13
5,GARDANNE,Météo Gardanne,13
6,MOBILE_04,MOBILE04_Malet,13
7,MOBILE_10,MOBILE10_LFG_SOUSQUI,13
8,AVIGNONDEGAULLE,Avignon De Gaulle,84
9,MOBILE_13,MOBILE13_Briançon,05
10,MOBILE_15,MOBILE15_Fauvettes,13
11,AIXART,AIX CENTRE ECOLE ART,13
12,AIXCEN,AIX ROY RENE,13
13,AIXPLA,AIX PLATANES,13
14,APT,APT,84
15,ARLS,Arles,13
16,AVICEN,AVIGNON   MAIRIE,84
17,BETG,Berre l'Etang,13
18,FSCB,Fos Les Carabins    ,13
19,FSMR,Fos sur Mer         ,13
20,GAPCOM,GAP COMMANDERIE,05
21,GARDAN,GARDANNE            ,13
22,ISTR,Istres              ,13
23,MANOSQ,MANOSQUE,04
24,MEDE,Chateauneuf La Mede,13
25,MGTS,Martigues La Gatasse,13
26,MLVR,Martigues Lavera,13
27,MNDM,Martigues Notre Dame,13
28,MPNT,Martigues Laurons,13
29,PDBL,Port de Bouc Leque  ,13
30,PONTET,LE PONTET,84
31,PSTL,Port Saint Louis    ,13
32,RBRT,Rognac Barjaquets ,13
33,SSLP,Sausset les Pins    ,13
