,id,id_site,phy_name,id_phy,unit
0,FDCOT2,CONTE2,PM10,24,microg/m3
1,FSCOT2,CONTE2,PM10FNV,N1,microg/m3
2,FVCOT2,CONTE2,PM10FV,F1,microg/m3
3,PCBRIG,BRIGNO,PM10,24,microg/m3
4,N2MAGNAN,MAGNAN,NO2,03,microg/m3
5,NOMAGNAN,MAGNAN,NO,02,microg/m3
6,NXMAGNAN,MAGNAN,NOX,12,microg/m3
7,PCMAGNAN,MAGNAN,PM10,24,microg/m3
8,TsMAGNAN,MAGNAN,TC,54,degre
9,N2ARSON,ARSON,NO2,03,microg/m3
10,NOARSON,ARSON,NO,02,microg/m3
11,NXARSON,ARSON,NOX,12,microg/m3
12,TsARSON,ARSON,TC,54,degre
13,P2ARSON,ARSON,PM2.5,39,microg/m3
14,PCARSON,ARSON,PM10,24,microg/m3
15,O3ARSON,ARSON,O3,08,microg/m3
16,BDMAGNAN,MAGNAN,PM10,24,microg/m3
17,B2MAGNAN,MAGNAN,PM2.5,39,microg/m3
18,P2MAGNAN,MAGNAN,PM2.5,39,microg/m3
19,BDBRIGNO,BRIGNO,PM10,24,microg/m3
20,BDAERO,AEROPO,PM10,24,microg/m3
21,O3CHEIRON,CHEIRON,O3,08,microg/m3
22,tsCHEIRON,CHEIRON,TC,54,degreC
23,O3ESTEREL,ESTEREL,O3,08,microg/m3
24,N2ESTEREL,ESTEREL,NO2,03,microg/m3
25,NOESTEREL,ESTEREL,NO,02,microg/m3
26,NXESTEREL,ESTEREL,NOX,12,microg/m3
27,G6ARSON,ARSON,eBC880,G6,microg/m3
28,tsESTEREL,ESTEREL,TC,54,degre
29,tsNCA,NCA,TC,54,degreC
30,O3NCA,NCA,O3,08,microg/m3
31,N2NCA,NCA,NO2,03,microg/m3
32,NONCA,NCA,NO,02,microg/m3
33,NXNCA,NCA,NOX,12,microg/m3
34,PCESTEREL,ESTEREL,PM10,24,microg/m3
35,P2ESTEREL,ESTEREL,PM2.5,39,microg/m3
36,S2NCA,NCA,SO2,01,microg/m3
37,B2AERO,AEROPO,PM2.5,39,microg/m3
38,P2AERO,AEROPO,PM2.5,39,microg/m3
39,Nb_FIDAS_ARSON,ARSON,NBR,9H,NbP/cm3
40,PM1ARSON,ARSON,PM1,68,microg/m3
41,PM10ARSON,ARSON,PM10,24,microg/m3
42,PM25ARSON,ARSON,PM2.5,39,microg/m3
43,PMtotARSON,ARSON,PS,22,microg/m3
44,BDESTEREL,ESTEREL,PM10,24,microg/m3
45,B2ESTEREL,ESTEREL,PM2.5,39,microg/m3
46,DVNCA,NCA,DV,52,degre
47,VVNCA,NCA,VV,51,m/s
48,TCNCA,NCA,TC,54,degreC
49,CVNCA,NCA,CVerticale,63,m/s
50,PMtotCANNES,CANNES,PS,22,microg/m3
51,PM25CANNES,CANNES,PM2.5,39,microg/m3
52,PM1CANNES,CANNES,PM1,68,microg/m3
53,Nb_FIDAS_CANNES,CANNES,NBR,9H,NbP/cm3
54,PM10CANNES,CANNES,PM10,24,microg/m3
55,PM10PEILLON,PEILLO,PM10,24,microg/m3
56,PM25PEILLON,PEILLO,PM2.5,39,microg/m3
57,PMtotPEILLON,PEILLO,PS,22,microg/m3
58,PM1PEILLON,PEILLO,PM1,68,microg/m3
59,Nb_FIDAS_PEILLO,PEILLO,NBR,9H,NbP/cm3
60,HRCPC_ARSON,ARSON,MT,MT,%
61,HR10AERO,AEROPO,MT,MT,%
62,HR25AERO,AEROPO,MT,MT,%
63,HR10BRIGNO,BRIGNO,MT,MT,%
64,HR10ESTEREL,ESTEREL,MT,MT,%
65,HR25ESTEREL,ESTEREL,MT,MT,%
66,HR25MAGNAN,MAGNAN,MT,MT,%
67,HR10MAGNAN,MAGNAN,MT,MT,%
68,HRCPC_AEROPORT,AEROPO,MT,MT,%
69,PM4_ARSON,ARSON,PM4,9E,microg/m3
70,PM4_CANNES,CANNES,PM4,9E,microg/m3
71,PM4_PEILLON,PEILLO,PM4,9E,microg/m3
72,NbP_ARSON,ARSON,Nb PM 10nm,T3,NbP/cm3
73,B1NCA,NCA,PM1,68,mg/m3
74,P1NCA,NCA,PM1,68,ug/m3
75,HR1NCA,NCA,MT,MT,%
76,NbP_AERO,AEROPO,Nb PM 10nm,T3,NbP/cm3
77,Nb7nm_AERO,AEROPO,NBR_CPC,T1,NbP/cm3
78,N2AERO,AEROPO,NO2,03,microg/m3
79,N2CANN,CANNES,NO2,03,microg/m3
80,N2COT2,CONTE2,NO2,03,microg/m3
81,N2MOUL,MOULIN,NO2,03,microg/m3
82,NOAERO,AEROPO,NO,02,microg/m3
83,NOCANN,CANNES,NO,02,microg/m3
84,NOCOT2,CONTE2,NO,02,microg/m3
85,NOMOUL,MOULIN,NO,02,microg/m3
86,NXAERO,AEROPO,NOX,12,microg/m3
